player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Blake Jarwin,12320,TE,DAL,1,0,9,46.8,100.0,5,83.3,5,34.7,0,100.0,6,6,60.0,100.0,1,16.7,1
Dare Ogunbowale,12329,HB,JAX,5,0,15,,0.0,0,0.0,10,64.8,0,15.8,6,38,53.2,13.0,3,50.0,23
J.J. Taylor,25512,HB,NE,6,0,19,60.0,18.8,3,50.0,16,60.0,0,20.7,6,29,,0.0,0,0.0,7
La'Mical Perine,26408,HB,NYJ,9,0,22,,0.0,0,0.0,24,59.8,0,8.6,6,70,59.3,4.9,2,33.3,41
Trey Edmunds,38329,FB,PIT,2,0,25,,,0,0.0,0,60.2,0,100.0,6,6,60.0,100.0,2,33.3,2
Matt Schaub,1811,QB,ATL,1,0,2,60.0,100.0,2,33.3,2,60.0,0,66.7,6,9,60.0,100.0,4,66.7,4
Le'Veon Bell,7829,HB,KC,12,0,16,68.5,6.1,2,33.3,33,77.2,0,6.6,6,91,60.0,1.9,1,16.7,54
Chris Myarick,47358,TE,MIA,2,0,17,48.5,100.0,3,50.0,3,38.5,0,100.0,6,6,,,0,0.0,0
Jaleel Scott,48097,WR,NYJ,1,0,22,60.0,100.0,2,33.3,2,61.0,0,100.0,6,6,60.4,100.0,4,66.7,4
AJ Dillon,57165,HB,GB,11,0,12,,0.0,0,0.0,10,60.0,0,9.5,6,63,,0.0,0,0.0,46
D'Andre Swift,57212,HB,DET,12,0,11,60.0,3.8,2,33.3,53,59.3,0,4.8,6,125,60.0,3.2,2,33.3,62
Darwin Thompson,83791,HB,KC,6,0,16,,0.0,0,0.0,6,60.6,0,18.2,6,33,60.1,8.7,2,33.3,23
Brandon Dillon,91468,TE,MIN,3,0,18,,,0,0.0,0,55.5,0,100.0,6,6,55.5,100.0,6,100.0,6
Cullen Gillaspia,38844,HB,HST,3,0,13,,,0,0.0,0,60.0,0,100.0,5,5,60.0,100.0,1,20.0,1
Jeremy McNichols,11917,HB,TEN,12,0,31,,0.0,0,0.0,14,57.0,0,9.1,5,55,,0.0,0,0.0,36
Scottie Phillips,83711,HB,HST,3,0,13,,,0,0.0,0,60.0,0,71.4,5,7,,0.0,0,0.0,2
Tarik Cohen,11874,HB,CHI,3,0,6,60.0,33.3,1,20.0,3,60.0,0,27.8,5,18,60.0,16.7,2,40.0,12
Dion Lewis,6301,HB,NYG,14,0,21,,0.0,0,0.0,20,46.4,0,14.7,5,34,,0.0,0,0.0,8
Kevin Rader,30887,TE,PIT,1,0,25,60.0,100.0,1,20.0,1,60.3,0,100.0,5,5,60.4,100.0,4,80.0,4
JoJo Natson,12739,WR,CLV,3,0,8,60.4,100.0,3,60.0,3,60.6,0,83.3,5,6,60.0,100.0,2,40.0,2
Kahale Warring,37213,TE,HST,2,0,13,60.0,100.0,1,20.0,1,55.6,0,100.0,5,5,57.6,100.0,4,80.0,4
Trace McSorley,32819,QB,BLT,2,0,3,60.0,50.0,4,80.0,8,60.0,0,55.6,5,9,60.0,100.0,1,20.0,1
Matthew Slater,4467,WR,NE,4,0,19,,,0,0.0,0,60.0,0,100.0,5,5,,,0,0.0,0
Chris Streveler,46440,QB,ARZ,3,0,1,60.0,100.0,1,20.0,1,60.0,0,55.6,5,9,60.0,100.0,3,60.0,3
Case Keenum,7323,QB,CLV,1,0,8,60.0,100.0,3,60.0,3,60.0,0,100.0,5,5,60.0,100.0,2,40.0,2
