player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Robert Turbin,7106,HB,SEA,18,0,29,,0.0,0,0.0,16,56.3,0,19.3,23,119,,,0,0.0,0
Matthew Slater,4467,WR,NE,8,0,19,58.2,100.0,5,22.7,5,63.4,0,100.0,22,22,,,0,0.0,0
Armanti Edwards,5613,WR,CLV,5,0,8,58.5,100.0,11,50.0,11,59.1,0,95.7,22,23,,,0,0.0,0
Stepfan Taylor,7922,HB,ARZ,12,0,1,67.3,28.6,2,9.1,7,65.0,0,37.9,22,58,,,0,0.0,0
T.J. Yates,6304,QB,HST,3,0,13,60.0,100.0,5,22.7,5,60.0,0,95.7,22,23,,,0,0.0,0
Joique Bell,5797,HB,DET,16,0,11,60.0,2.4,1,4.8,41,57.5,0,11.0,21,191,,,0,0.0,0
Konrad Reuland,6469,TE,NYJ,5,0,22,47.4,100.0,11,52.4,11,56.5,0,100.0,21,21,,,0,0.0,0
Lamar Miller,7097,HB,MIA,16,0,17,60.0,2.5,1,5.0,40,47.4,0,9.8,20,205,,,0,0.0,0
Stephen Goodin,7723,G,NYG,1,0,21,57.7,100.0,3,15.0,3,68.7,0,100.0,20,20,,,0,0.0,0
Dennis Pitta,5638,TE,BLT,4,0,3,56.6,100.0,3,15.0,3,46.8,0,100.0,20,20,,,0,0.0,0
BenJarvus Green-Ellis,4599,HB,CIN,17,0,7,60.0,1.6,1,5.0,64,55.7,0,7.9,20,252,,,0,0.0,0
Josh Cooper,7672,WR,CLV,3,0,8,60.4,100.0,11,55.0,11,59.4,0,100.0,20,20,,,0,0.0,0
Kendall Hunter,6267,HB,SF,19,0,28,60.0,2.0,1,5.0,50,56.9,0,17.4,20,115,,,0,0.0,0
Jake Byrne,7440,TE,SD,6,0,27,60.0,100.0,1,5.0,1,68.2,0,100.0,20,20,,,0,0.0,0
LeGarrette Blount,5863,HB,NE,18,0,19,,0.0,0,0.0,76,56.6,0,9.6,20,208,,,0,0.0,0
Jeff Byers,5976,G,CAR,4,0,5,77.2,100.0,9,45.0,9,69.8,0,100.0,20,20,,,0,0.0,0
Montee Ball,7839,HB,DEN,19,0,10,60.0,2.8,1,5.0,36,67.4,0,11.8,20,170,,,0,0.0,0
Curtis Painter,5125,QB,NYG,1,0,21,60.0,100.0,4,21.1,4,60.0,0,86.4,19,22,,,0,0.0,0
Bernard Pierce,7085,HB,BLT,16,0,3,,0.0,0,0.0,30,58.0,0,11.0,19,173,,,0,0.0,0
Roy Helu,6257,HB,WAS,15,0,32,57.7,41.7,5,26.3,12,78.6,0,22.9,19,83,,,0,0.0,0
Mike Preston,6413,WR,TEN,7,0,31,82.7,100.0,10,52.6,10,87.3,0,100.0,19,19,,,0,0.0,0
Matt Forte,4358,HB,CHI,16,0,6,,0.0,0,0.0,97,58.0,0,6.0,19,319,,,0,0.0,0
Danny Noble,7445,TE,JAX,7,0,15,53.1,100.0,6,31.6,6,64.3,0,100.0,19,19,,,0,0.0,0
Dennis Roland,3485,T,CIN,2,0,7,72.2,100.0,6,31.6,6,68.9,0,100.0,19,19,,,0,0.0,0
Brandon Mosley,7131,G,NYG,4,0,21,88.9,100.0,10,52.6,10,85.5,1,100.0,19,19,,,0,0.0,0
Kevin Cone,6889,WR,ATL,8,0,2,55.2,100.0,8,44.4,8,80.0,0,100.0,18,18,,,0,0.0,0
